username,category_name,counter_number
san_s1_cashier1,Sanskrit Bhasha,139
san_s1_cashier2,Sanskrit Bhasha,139
san_s2_admin,Sanskrit Bhasha,140
san_s2_supervisor,Sanskrit Bhasha,140
san_s2_bo,Sanskrit Bhasha,140
san_s2_cashier1,Sanskrit Bhasha,140
san_s2_cashier2,Sanskrit Bhasha,140
dhy_s1_admin,Dhyana Asana,141
dhy_s1_supervisor,Dhyana Asana,141
dhy_s1_bo,Dhyana Asana,141
dhy_s1_cashier1,Dhyana Asana,141
dhy_s1_cashier2,Dhyana Asana,141
dhy_s2_admin,Dhyana Asana,142
dhy_s2_supervisor,Dhyana Asana,142
dhy_s2_bo,Dhyana Asana,142
dhy_s2_cashier1,Dhyana Asana,142
dhy_s2_cashier2,Dhyana Asana,142
art_s1_admin,Spiritual Artwork,143
art_s1_supervisor,Spiritual Artwork,143
art_s1_bo,Spiritual Artwork,143
art_s1_cashier1,Spiritual Artwork,143
art_s1_cashier2,Spiritual Artwork,143
art_s2_admin,Spiritual Artwork,144
art_s2_supervisor,Spiritual Artwork,144
art_s2_bo,Spiritual Artwork,144
art_s2_cashier1,Spiritual Artwork,144
art_s2_cashier2,Spiritual Artwork,144
psm_s1_admin,Puja Samagri,145
psm_s1_supervisor,Puja Samagri,145
psm_s1_bo,Puja Samagri,145
psm_s1_cashier1,Puja Samagri,145
psm_s1_cashier2,Puja Samagri,145
psm_s2_admin,Puja Samagri,146
psm_s2_supervisor,Puja Samagri,146
psm_s2_bo,Puja Samagri,146
psm_s2_cashier1,Puja Samagri,146
psm_s2_cashier2,Puja Samagri,146
ast_s1_admin,Vedic Astrology,147
ast_s1_supervisor,Vedic Astrology,147
ast_s1_bo,Vedic Astrology,147
ast_s1_cashier1,Vedic Astrology,147
ast_s1_cashier2,Vedic Astrology,147
ast_s2_admin,Vedic Astrology,148
ast_s2_supervisor,Vedic Astrology,148
ast_s2_bo,Vedic Astrology,148
ast_s2_cashier1,Vedic Astrology,148
ast_s2_cashier2,Vedic Astrology,148
iti_s1_admin,Sanatana Itihasa,149
iti_s1_supervisor,Sanatana Itihasa,149
iti_s1_bo,Sanatana Itihasa,149
iti_s1_cashier1,Sanatana Itihasa,149
iti_s1_cashier2,Sanatana Itihasa,149
iti_s2_admin,Sanatana Itihasa,150
iti_s2_supervisor,Sanatana Itihasa,150
iti_s2_bo,Sanatana Itihasa,150
iti_s2_cashier1,Sanatana Itihasa,150
iti_s2_cashier2,Sanatana Itihasa,150
